run_id,sequence_index,sequence_id,timestamp_utc,model,base_case_id,evidence_condition,stage,parser_error_category,response_hash,input_tokens,output_tokens,estimated_cost_usd
pilot05AN_20260709_020210,8,fb1d19371871951120865fc0,2026-07-09T01:03:26.440517+00:00,glm-5.2,P05_CFPB_PKT_000190,partial_dropout,audit,json_parse_error,5d6ae6a05a9550ced3236b18e75bc8cfb53a1da6f00c015e15270b836bd2fb45,493,700,0.00377020
pilot05AN_20260709_020210,9,484cb04de3cf2002d75e222f,2026-07-09T01:03:41.124867+00:00,glm-5.2,P05_CFPB_PKT_000190,partial_dropout,escalation,json_parse_error,1fe34879a8acf02913a7bd7e5c17821180063a0d4d21019ffe95fa9c4402c5ba,494,700,0.00377160
pilot05AN_20260709_020210,11,39d871f7fbceb9d4f1ebaf77,2026-07-09T01:04:07.390258+00:00,glm-5.2,P05_CFPB_PKT_000190,noisy_conflicting,audit,json_parse_error,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,520,700,0.00380800
pilot05AN_20260709_020210,12,04c66a0ed7f72080b410f986,2026-07-09T01:04:22.057953+00:00,glm-5.2,P05_CFPB_PKT_000190,noisy_conflicting,escalation,json_parse_error,0071ddcaf9c74acc184277a89c6cb52c7a3c0802d79929f28ce222ac44379700,521,700,0.00380940
pilot05AN_20260709_020210,13,7ecbd521eba1ba86fad8c357,2026-07-09T01:04:35.933305+00:00,glm-5.2,P05_CFPB_PKT_000219,clean,decision,json_parse_error,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,488,700,0.00376320
pilot05AN_20260709_020210,15,a54499825ec9c394322587bf,2026-07-09T01:05:00.028897+00:00,glm-5.2,P05_CFPB_PKT_000219,clean,escalation,json_parse_error,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,489,700,0.00376460
pilot05AN_20260709_020210,34,24d1b6a80278b310db2d5cca,2026-07-09T01:07:53.671850+00:00,glm-5.2,P05_CFPB_PKT_000605,noisy_conflicting,decision,json_parse_error,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,518,700,0.00380520
pilot05AN_20260709_020210,36,a588418baa679b538ea66b09,2026-07-09T01:08:14.155824+00:00,glm-5.2,P05_CFPB_PKT_000605,noisy_conflicting,escalation,json_parse_error,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,519,700,0.00380660
pilot05AN_20260709_020210,37,55dd16e0021e4faea4025dae,2026-07-09T01:08:32.223105+00:00,glm-5.2,P05_CFPB_PKT_000987,clean,decision,json_parse_error,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,484,700,0.00375760
pilot05AN_20260709_020210,38,f070d442d06f42ad4ed8e205,2026-07-09T01:08:44.405345+00:00,glm-5.2,P05_CFPB_PKT_000987,clean,audit,json_parse_error,03b8db5801661216d885727451ee87b1e0503674a3031d3ebf98c8fea8b0e41d,484,700,0.00375760
pilot05AN_20260709_020210,39,4e25d4686805d5ebd5527646,2026-07-09T01:08:56.552096+00:00,glm-5.2,P05_CFPB_PKT_000987,clean,escalation,json_parse_error,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,485,700,0.00375900
pilot05AN_20260709_020210,42,dd7054f32e69022c75763c0a,2026-07-09T01:09:33.735350+00:00,glm-5.2,P05_CFPB_PKT_000987,compressed_lossy,escalation,json_parse_error,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,451,700,0.00371140
pilot05AN_20260709_020210,45,04e290d9ad39e19da169e5c4,2026-07-09T01:10:06.243180+00:00,glm-5.2,P05_CFPB_PKT_000987,partial_dropout,escalation,json_parse_error,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,499,700,0.00377860
pilot05AN_20260709_020210,52,ae8c7026575488406038791b,2026-07-09T01:11:07.640563+00:00,glm-5.2,P05_CFPB_PKT_001132,compressed_lossy,decision,json_parse_error,5ea5d5e711e232f2b94541d49f76a6789b069f9edf62b495796ec3ace1bff207,451,700,0.00371140
pilot05AN_20260709_020210,53,da51c17b4d262f8579859419,2026-07-09T01:11:21.759150+00:00,glm-5.2,P05_CFPB_PKT_001132,compressed_lossy,audit,json_parse_error,bfd9a4d4272baccb5279833c32b2688eea3daec81ff3381a1407216a13e5d78f,451,700,0.00371140
pilot05AN_20260709_020210,55,2f7af0ec63d2548abc1a7165,2026-07-09T01:11:42.397290+00:00,glm-5.2,P05_CFPB_PKT_001132,partial_dropout,decision,json_parse_error,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,499,700,0.00377860
pilot05AN_20260709_020210,57,5d7063828182bc488980ea1e,2026-07-09T01:12:07.579986+00:00,glm-5.2,P05_CFPB_PKT_001132,partial_dropout,escalation,json_parse_error,1201940814dee0144edefbc31b3cd0575cd2c375a8c3903bd87c95106b3b48ef,500,700,0.00378000
pilot05AN_20260709_020210,63,c9f14c4fed82690ad089f619,2026-07-09T01:13:58.552390+00:00,glm-5.2,P05_CFPB_PKT_001611,clean,escalation,json_parse_error,21c10925f9c360355ebffdee04c52559f3f5b6f7211f857f2645d44d985b0686,501,700,0.00378140
pilot05AN_20260709_020210,65,3423d3651c9e68cca691e92a,2026-07-09T01:14:18.265898+00:00,glm-5.2,P05_CFPB_PKT_001611,compressed_lossy,audit,json_parse_error,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,452,700,0.00371280
pilot05AN_20260709_020210,66,779a0c7c1b030311e143752b,2026-07-09T01:14:30.492521+00:00,glm-5.2,P05_CFPB_PKT_001611,compressed_lossy,escalation,json_parse_error,435f8445193ae248840fc474bfd82d9af51b966f92e24504676b2dd256edf491,453,700,0.00371420
pilot05AN_20260709_020210,67,72621d0a9a0c922771ac0f81,2026-07-09T01:14:43.247725+00:00,glm-5.2,P05_CFPB_PKT_001611,partial_dropout,decision,json_parse_error,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,500,700,0.00378000
pilot05AN_20260709_020210,69,0984401958562a272a830bc2,2026-07-09T01:15:06.675876+00:00,glm-5.2,P05_CFPB_PKT_001611,partial_dropout,escalation,json_parse_error,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,501,700,0.00378140
