source_file,exists,tracked,size_bytes,status
reports/pilot_05_cfpb_glm52_scaled_results_interpretation/pilot_05AR_scaled_results_interpretation_manifest.json,True,True,2765,PASS
reports/pilot_05_cfpb_glm52_scaled_results_interpretation/pilot_05AR_headline_empirical_findings.csv,True,True,943,PASS
reports/pilot_05_cfpb_glm52_scaled_results_interpretation/pilot_05AR_paper_ready_main_results_table.csv,True,True,874,PASS
reports/pilot_05_cfpb_glm52_scaled_results_interpretation/pilot_05AR_parser_vs_evidence_state_divergence.csv,True,True,547,PASS
reports/pilot_05_cfpb_glm52_scaled_results_interpretation/pilot_05AR_audit_escalation_interpretation.csv,True,True,366,PASS
reports/pilot_05_cfpb_glm52_scaled_results_interpretation/pilot_05AR_cascade_failure_interpretation.csv,True,True,251,PASS
reports/pilot_05_cfpb_glm52_scaled_results_interpretation/pilot_05AR_failure_family_interpretation.csv,True,True,589,PASS
reports/pilot_05_cfpb_glm52_scaled_results_interpretation/pilot_05AR_claim_boundary_table.csv,True,True,1710,PASS
reports/pilot_05_cfpb_glm52_scaled_results_interpretation/pilot_05AR_limitations_and_validity_threats.csv,True,True,642,PASS
reports/pilot_05_cfpb_glm52_scaled_results_interpretation/pilot_05AR_figure_specifications.csv,True,True,551,PASS
reports/pilot_05_cfpb_glm52_scaled_results_interpretation/pilot_05AR_metric_validation.csv,True,True,3913,PASS
reports/pilot_05_cfpb_glm52_scaled_results_interpretation/pilot_05AR_sanitized_input_file_index.csv,True,True,6366,PASS
reports/pilot_05_cfpb_glm52_scaled_results_interpretation/pilot_05AR_paper_results_section_outline.md,True,True,1489,PASS
reports/pilot_05_cfpb_glm52_scaled_results_interpretation/pilot_05AR_scaled_results_interpretation_report.md,True,True,3458,PASS
reports/pilot_05_cfpb_glm52_paper_figures_tables/pilot_05AS_manifest.json,True,True,9194,PASS
reports/pilot_05_cfpb_glm52_paper_figures_tables/pilot_05AS_input_file_index.csv,True,True,1927,PASS
reports/pilot_05_cfpb_glm52_paper_figures_tables/pilot_05AS_final_main_results_table.csv,True,True,874,PASS
reports/pilot_05_cfpb_glm52_paper_figures_tables/pilot_05AS_final_main_results_table.md,True,True,1185,PASS
reports/pilot_05_cfpb_glm52_paper_figures_tables/pilot_05AS_final_main_results_table.tex,True,True,1240,PASS
reports/pilot_05_cfpb_glm52_paper_figures_tables/pilot_05AS_parser_vs_evidence_state_divergence_figure_data.csv,True,True,321,PASS
reports/pilot_05_cfpb_glm52_paper_figures_tables/pilot_05AS_audit_escalation_figure_data.csv,True,True,280,PASS
reports/pilot_05_cfpb_glm52_paper_figures_tables/pilot_05AS_cascade_failure_figure_data.csv,True,True,155,PASS
reports/pilot_05_cfpb_glm52_paper_figures_tables/pilot_05AS_failure_family_figure_data.csv,True,True,388,PASS
reports/pilot_05_cfpb_glm52_paper_figures_tables/pilot_05AS_claim_boundary_table_final.csv,True,True,1710,PASS
reports/pilot_05_cfpb_glm52_paper_figures_tables/pilot_05AS_limitations_and_validity_threats_final.csv,True,True,642,PASS
reports/pilot_05_cfpb_glm52_paper_figures_tables/pilot_05AS_metric_validation_summary.csv,True,True,3913,PASS
reports/pilot_05_cfpb_glm52_paper_figures_tables/pilot_05AS_figure_caption_pack.md,True,True,1284,PASS
reports/pilot_05_cfpb_glm52_paper_figures_tables/pilot_05AS_paper_table_pack.md,True,True,3816,PASS
reports/pilot_05_cfpb_glm52_paper_figures_tables/pilot_05AS_paper_assets_report.md,True,True,5099,PASS
reports/pilot_05_repo_validation_reproducibility_audit/pilot_05AT_manifest.json,True,True,4069,PASS
reports/pilot_05_repo_validation_reproducibility_audit/pilot_05AT_repo_validation_reproducibility_report.md,True,True,12836,PASS
reports/pilot_05_cfpb_glm52_paper_figures_tables/pilot_05AS_figure_01_parser_vs_evidence_state_divergence.png,True,True,105492,PASS
reports/pilot_05_cfpb_glm52_paper_figures_tables/pilot_05AS_figure_02_audit_escalation_interpretation.png,True,True,72640,PASS
reports/pilot_05_cfpb_glm52_paper_figures_tables/pilot_05AS_figure_03_cascade_failure_rate.png,True,True,67915,PASS
reports/pilot_05_cfpb_glm52_paper_figures_tables/pilot_05AS_figure_04_failure_family_interpretation.png,True,True,87865,PASS
